title,author,description,url,article_text,date_published,date_modified,source,classification,label
"Promoter pares 14% stake in Vishal Mega Mart; HDFC MF, Govt of Singapore among 3 investors pick up over 6% shares",Moneycontrol News,"Vishal Mega Mart shares reacted to the big stake sale by promoter, falling 7.65 percent to close at Rs 117.78 after gap-down opening, amid high volumes.",https://www.moneycontrol.com/news/business/markets/promoter-pares-14-stake-in-vishal-mega-mart-hdfc-mf-govt-of-singapore-among-3-investors-pick-up-over-6-shares-13846073.html,"Promoter entity Samayat Services has pared nearly 14 percent equity stake in Vishal Mega Mart, the fashion-focused hypermarket and value retail chain, for Rs 7,635.6 crore via open market transactions on February 27. However, HDFC MF, and Government of Singapore among 3 investors picked up 6.3 percent shares. shares reacted to the big stake sale by promoter, falling 7.65 percent to close at Rs 117.78 after gap-down opening, amid high volumes. Samayat Services LLP sold 21.75 crore equity shares in Vishal Mega Mart at Rs 117 per share for Rs 2,544.75 crore, and 43.5 crore shares at Rs 117.03 per share for Rs 5,090.8 crore, taking the total stake sale to 13.96 percent of paid-up equity. Total promoters' shareholding in the company was 54.09 percent as of December 2025. However, of which, HDFC Mutual Fund has acquired additional 9.4 crore shares (equivalent to 2.01 percent of paid-up equity) in the retail chain for Rs 1,100.5 crore. The asset management company through HDFC Large Cap Fund was holding 6.13 percent stake in the firm. Further, Government of Singapore has bought 12.69 crore shares in Vishal Mega Mart for Rs 1,485.1 crore, and Monetary Authority of Singapore picked up 7.32 crore shares for Rs 857.59 crore. The buying price for Vishal Mega Mart by above-mentioned investors was Rs 117 per share. Vishal Mega Mart had launched its mega IPO in December 2024, and raised Rs 8,000 crore. Meanwhile, shares rose 1.59 percent on its listing day today, closing at Rs 80.26 on the NSE. GDN Investments has acquired 20 lakh shares in the fertility services provider at Rs 83.3 per share for Rs 16.66 crore, and Param Capital bought 25 lakh shares at Rs 85.51 per share, valued at Rs 21.37 crore. However, Minerva Emerging Opportunities Fund pared 10 lakh shares in Gaudium IVF at Rs 83 per share for Rs 8.3 crore, and Neomile India Opportunity Fund offloaded 15.76 lakh shares at Rs 84.89 per share for Rs 13.38 crore. Before the listing of Gaudium IVF, Minerva Emerging Opportunities Fund held 1.65 percent stake (12.04 lakh shares), and Neomile India Opportunity Fund 2.2 percent shareholding (16.04 lakh shares). BNP Paribas Financial Markets has bought 47.33 lakh shares (0.59 percent stake) in -IRCTC, the state-owned ticketing, catering, and tourism services provider, at Rs 569.91 per share, valued at Rs 269.74 crore, and picked up 49.5 lakh shares (0.75 percent stake) in food services company at Rs 519.67 per share, amounting to Rs 257.2 crore. IRCTC shares plunged 4.27 percent to Rs 569.55, the lowest closing level since April 5, 2023, while Jubilant Foodworks shares gained 0.73 percent to finish at Rs 519.9 on the NSE. ",2026-02-27T20:43:14+05:30,2026-03-01T23:27:48+05:30,,"Market-Moving  
Reason: The significant equity stake sale by the promoter and the subsequent drop in share price indicate a material change in investor sentiment and expectations.",Market-Moving
"Pro Economic Tracker | Auto sales, labour participation improve, consumer sentiment declines",Ravindra Sonavane,Auto sales moved in top gear as the volume recorded its strongest improvement in registrations in three weeks. Data updated as of February 22,https://www.moneycontrol.com/news/business/economy/pro-economic-tracker-consumer-sentiment-and-auto-sales-decline-air-traffic-on-the-rise-5427551.html,,2021-03-23T10:04:50+05:30,2026-02-24T11:33:50+05:30,,"Non-Market-Moving  
Reason: The article does not provide any specific information or context that would indicate a significant impact on investor expectations or trading activity.",Non-Market-Moving
"Ayushman Bharat outlay likely to cross Rs 10,000 crore as budget trend points to steady scale-up",Ishaan Gera,Consistent convergence between estimates and actuals signals further expansion of the flagship health insurance scheme,https://www.moneycontrol.com/news/business/economy/ayushman-bharat-outlay-likely-to-cross-rs-10-000-crore-as-budget-trend-points-to-steady-scale-up-13730079.html,"Ayushman Bharat will likely receive another boost in the upcoming Union Budget, with the outlay for the Modi government's flagship healthcare programme poised to cross Rs 10,000 crore if recent spending patterns are anything to go by. A Moneycontrol analysis of budget estimates (BE), revised estimates (RE) and actual expenditure shows that the health insurance programme has ended each year with spending converging towards — or exceeding — its revised estimates. This pattern has, in turn, prompted the government to raise allocations in subsequent budgets. The budget for the financial year 2026-27 is expected in early February. The scheme’s scale-up has been substantial. Actual spending rose from Rs 1,998 crore in FY19 to Rs 6,671 crore in FY24, more than a threefold increase. Even in years when initial allocations were ambitious — particularly between FY20 and FY22 — revised estimates were pared to reflect implementation constraints, only for utilisation to strengthen in later years. This narrowing gap between budgeted and actual spending has translated into higher headline allocations. After being held at around Rs 6,400 crore for four consecutive years, the Budget outlay was raised to Rs 7,200 crore in FY24 and Rs 7,300 crore in FY25. For FY26, the Budget has already earmarked Rs 9,406 crore, pointing to the likelihood that actual expenditure could comfortably breach Rs 10,000 crore if current utilisation trends continue. While aggregate spending has picked up, utilisation remains uneven. Tamil Nadu tops the chart, with hospitalisations exceeding the number of Ayushman cards issued — implying repeat usage and a utilisation rate of 129 percent. Kerala and Karnataka also report relatively high utilisation, reflecting stronger hospital empanelment and claims-processing capacity. In contrast, several large states show weak conversion of coverage into actual hospitalisations. Uttar Pradesh, Madhya Pradesh and Bihar together account for more than 1.4 crore Ayushman cards, but utilisation rates remain below 15 percent. Maharashtra, despite issuing nearly 3.7 crore cards, reports a utilisation rate of just 7.4 percent. Some of the lowest usage rates are seen in Odisha, Delhi, West Bengal and the island territories, pointing to persistent gaps in awareness, hospital onboarding or operational execution. At the national level, more than 42.6 crore Ayushman cards have been issued, while total hospitalisations stand at about 9.9 crore, implying an overall utilisation rate of 23.3 percent. With hospitalisation volumes continuing to grow and state onboarding improving gradually, fiscal space for Ayushman Bharat appears to be widening. If patterns hold, the Rs 9,406 crore allocated for FY26 may once again prove conservative—strengthening expectations that Ayushman Bharat’s effective spending will cross the Rs 10,000-crore mark in the next fiscal year. Ayushman Bharat provides an annual health cover of Rs 5 lakh each to the poor and vulnerable families. From this year, the benefit has been extended to all citizens aged above 70, regardless of their socio-economic status.",2025-12-17T15:39:54+05:30,2026-01-23T17:59:52+05:30,,"Non-Market-Moving  
Reason: The information regarding the expected budget allocation for Ayushman Bharat is routine and likely already priced into market expectations, lacking any new or unexpected elements that would trigger immediate trading.",Non-Market-Moving
"ITI AMC debuts in SIF space with equity long-short fund, NFO open till Nov 24",Anishaa Kumar,"The NFO for Diviniti Equity Long-Short SIF fund will remain open between November 10-24, with Laukik Bagwe as the CIO - SIF and Vasav Sehgal as its fund manager.",https://www.moneycontrol.com/news/business/markets/iti-amc-debuts-in-sif-space-with-equity-long-short-fund-nfo-open-till-nov-24-13662195.html,"ITI AMC is launching its first offering under the Specialised Investment Fund (SIF) framework, choosing an equity long-short fund at a time when most fund houses are preparing hybrid or income-oriented SIFs. The AMC said the move is in alignment with market conditions as well as its long-developed expertise in long-short investing. The fund is being launched under the Diviniti SIF umbrella. Currently, three mutual funds have launched SIF products, with ITI being the fourth. ITI AMC’s believes its confidence in the category stems from ""in-house skill"" and the track record of its long-short AIF, which the same team has managed for 7-1/2 years. ITI AMC’s CIO Rajesh Bhatia told Moneycontrol  that the performance of its Long-Short strategy under the AIF has delivered steady returns both in rising and falling markets, and across market cycles. According to PMSBazaar the fund has delivered 8.54% over the past one year ending November 30, 2025. Over the past three and five years, the fund have delivered an annualised return of 15.62% and 14.83% respectively. ITI AMC’s CIO called the Diviniti Equity Long-Short SIF fund a capital appreciation product. “If a long–short product gives the same risk and return as pure equity then it has no purpose,” he added. The strategy allows net equity exposure to move significantly depending on market conditions, with up to 95 percent when the team is constructive, and as low as -25 percent, or a net short position, when risk levels rise. Rajesh Bhatia said the SIF structure is particularly suitable for long-short strategies as it offers equity taxation while still allowing most elements of AIF framework to be replicated. According to him, the format is well-timed for present times where investors want equities but also seek a hedge. “People feel they’ll only make 11-12 percent even if everything goes right, and what if things go wrong? That’s why the need for long-short has gone up sharply - people want to participate, but they also want protection,” he said. Under normal market conditions, the fund’s indicative allocation comprises 80-100 percent in equity or equity-equivalent instruments, 0-35 percent in debt or money-market instruments for liquidity and tactical needs, and up to 25 percent in REITs or InvITs within regulatory limits. This strategy also uses derivatives (up to 100 percent of net assets) primarily for hedging and efficient rebalancing. The portfolio will be structured through a mix of strategic long positions (up to 100 percent of AUM), tactical longs in equities and derivatives (0-35 percent), and futures-based hedges (up to 25 percent). Short exposures are adjusted actively to balance the book, and net equity is calculated as total longs minus the hedges and short positions. This design aims to participate in up-markets while containing drawdowns through selective shorts and diversification. Over the long term, the strategy seeks a steady 14-15 percent return profile, with smoother compounding and controlled volatility relative to traditional equity. Bhatia highlighted the scale and opportunity of long-short investing globally, calling it a “$1.5 trillion business” where some of the world’s most-renowned managers have built their reputations. With the SIF framework now in place, ITI CIO said India is opening this door within the mutual fund structure. Bhatia said the fund suits a wider audience than it appears - from HNIs and family offices to certain retirees - so long as their objective is capital appreciation with lower volatility. For such investors, he said, the product offers equity-like participation with more consistent downside protection. ITI AMC said early conversations with distributors, RIAs and wealth channels already certified for SIFs have been strong. They have been working with distributors providing training and support to tackle and challenges of education. Bhatia reiterated that the firm will not expand indiscriminately, and will only launch products in categories where it has the capability, for now in the Equity Long-Short. The NFO is open from November 10 to November 24, with Laukik Bagwe named as the CIO of Diviniti SIF and Vasav Sehgal as the fund manager.",2025-11-10T10:00:43+05:30,2025-11-12T14:11:59+05:30,,"Non-Market-Moving  
Reason: The launch of a new fund under a specialized framework is routine information and does not constitute a significant change in investor expectations or market conditions.",Non-Market-Moving
"Deals over dinner rolls in Davos; ReNew to invest Rs 22,000 cr in Andhra",Sweta Goswami,"A slew of renewable energy players opted out of the state between 2019 and 2023, but the Chandrababu Naidu administration is trying to change that with a new clean energy policy. Project approvals and land for ReNew's 2.5 GW project with 1 GWh of battery storage was cleared by the government in four months.",https://www.moneycontrol.com/news/business/companies/deals-over-dinner-rolls-in-davos-renew-power-to-invest-rs-22-000-cr-in-andhra-13024938.html,"A business meal has always held a significant place in dealmaking. It was one such dinner between Nara Lokesh, Andhra Pradesh's minister for information technology, and Sumant Sinha, founder and chairman, , in Davos early this year that scripted a comeback for the Gurugram-based green energy company, with a proposal to invest Rs 22,000 crore in the state. The groundbreaking ceremony to be held on May 16 will be among the top three largest renewable energy projects by installed capacity in Andhra Pradesh. The state, rich in terms of renewable energy sources and potential as per studies by the Union government, currently has an installed clean energy capacity of just 9 gigawatts (GW). In comparison, neighbouring states such as Tamil Nadu and Karnataka have hit capacities of about 23 GW. The incumbent Andhra chief minister, N Chandrababu Naidu, has often blamed his predecessor YS Jagan Mohan Reddy for “taking the power sector backwards” in the state. According to analysts, policy reviews in the power sector by the Reddy government had put at risk about 5.2 GW of solar and wind power projects, compelling 14 major renewable energy companies, including ACME Solar, ReNew, Greenko Holding, Axis Wind farms, Azure Power and Mytrah, to exit the state. In October, 2024, Naidu released the ‘Andhra Pradesh Integrated Clean Energy Policy’, the guidelines for which were issued in March this year. The five-year plan aims to add over 160 GW of renewable energy capacity, with a potential to attract investments worth Rs 10 lakh crore, and generating direct or indirect employment for about 7.5 lakh people. It involves large-scale promotion of renewable energy, pumped storage plants, and green hydrogen and its derivatives. The state is trying to attract investments by promising fast-tracked clearances and facilitation in acquiring land, among other things. “We took only 60 to 70 days to approve projects worth Rs 71,400 crore in the clean energy space. The government is personally ensuring that proposals move fast. All associated departments are working round the clock to expedite paperwork,” an official privy to the projects said. It has been seven months since the policy was announced and business barons have already started making a beeline in Andhra Pradesh. Mukesh Ambani-led Reliance Industries Ltd (RIL) signed a memorandum of understanding with the Andhra Pradesh government in November 2024 to invest Rs 65,000 crore for setting up of 500 compressed biogas plants in different districts with an aggregate capacity of 11,000 million tonnes. Tata Power has also announced it will invest Rs 49,000 crore to build up to 7 GW of solar, wind and hybrid projects under the state's Integrated Clean Energy Policy. Greenko Group is investing Rs 35,070 crore to build the largest integrated renewable energy project having 5 GW of RE capacity and 1.7 GW (GWh) hours of pumped hydropower generation. Now, is going to unveil a Rs 22,000-crore renewable energy project on May 16 that will have a capacity of 2.5 GW and a battery energy storage system of 1 GWh. “The state of Andhra Pradesh presents an attractive mix of investor-friendly policies, excellent transmission connectivity and abundant availability of solar and wind resources. We are highly optimistic about developing large-scale renewable energy capacity in the state to contribute to India's commitment of achieving the target of 500 GW non-fossil fuel electricity generation capacity by the year 2030,” chairman Sinha told . State government officials said investments are being brought in through personal meetings with company proprietors and CEOs as well. Similar to how state industries minister Lokesh's dinner meeting with Sinha in Davos clinched the deal, the RIL investment plan was finalised in a meeting in Mumbai with Anant Ambani, who leads RIL’s clean energy initiatives. For the Tata Power deal, a meeting was held with Natarajan Chandrasekaran, chairman of Tata Sons, eight months ago, officials said.",2025-05-14T16:10:32+05:30,2025-11-05T11:44:18+05:30,,"Non-Market-Moving  
Reason: The article discusses a business meal and a proposal that appears routine and lacks new, unexpected information that would materially change investor expectations.",Non-Market-Moving
"Trade Spotlight: How should you trade SAIL, Bank of Baroda, Jindal Steel, Hindustan Zinc, Hero MotoCorp, and others on October 01?",Sunil Shankar Matkar,The consolidation may continue until the market moves back above the short-term moving averages. Below are some short-term trading ideas to consider.,https://www.moneycontrol.com/news/business/markets/trade-spotlight-how-should-you-trade-sail-bank-of-baroda-jindal-steel-hindustan-zinc-hero-motocorp-and-others-on-october-01-13591706.html,"Bears have retained their charge over the market, pulling the benchmark indices down for eight consecutive days. The Nifty 50 fell by 0.1 percent with weak market breadth. About 1,522 shares declined compared to 1,242 advancing shares on the NSE. The consolidation may continue until the market moves back above the short-term moving averages. Below are some short-term trading ideas to consider: After a sharp uptrend rally, Steel Authority of India witnessed some selling pressure but eventually saw its downward momentum pause, finding support. On the weekly charts, the stock has formed a cup-and-handle pattern, and a fresh breakout from the resistance zone is very likely to occur in the coming trading sessions. As long as the stock is trading above Rs 130, the bullish trend is likely to continue. Above this level, the stock could move up to Rs 145. Strategy: Buy Target: Rs 145 Stop-Loss: Rs 130 Following a decline from higher levels, Britannia rebounded from its support zone and witnessed a steady recovery. Additionally, on the daily charts, the stock has given a breakout from its sloping channel formation. The upward movement in the stock suggests a new leg of the bullish trend from current levels. For the next few trading sessions, Rs 5,790 could be the trend-deciding level for the bulls. If it sustains above this level, we can expect a further uptrend towards Rs 6,420. Strategy: Buy Target: Rs 6,420 Stop-Loss: Rs 5,790 On a broader time frame, Tech Mahindra has been in a prolonged downtrend, and it is currently in an oversold territory. The chart formation and technical indicators, such as the RSI, suggest that the stock is likely to rebound and start a new leg of upward movement from its lower levels. For positional traders, Rs 1,350 would be the decisive level. If the stock trades above this level, the uptrend formation will continue toward Rs 1,500. However, if it closes below Rs 1,350, traders may prefer to exit their long positions. Strategy: Buy Target: Rs 1,500 Stop-Loss: Rs 1,350 In the previous session, Hindustan Zinc managed to break out of its week-long consolidation between Rs 445 and Rs 469, gaining 3.5%, despite the broader indices falling. The stock filled the gap formed in June 2025, which suggests that bulls are getting active. Recently, prices found support at the mid-Bollinger band and are now trading above the upper bands, which is a sign of strength. The medium-term support for the stock is at Rs 453 levels. Additionally, the ADX is trading at 26, which is above 25, indicating that positive momentum is likely to continue in the stock. For now, one should use a buy-on-dips approach to ride the ongoing trend, which can push the stock toward targets of Rs 495, followed by Rs 520 levels. Strategy: Buy Target: Rs 495, Rs 520 Stop-Loss: Rs 465 In the previous session, the Metal sector emerged as one of the top-performing sectors, with Jindal Steel standing out, gaining 2% and closing above the prior day's high, which is a bullish sign. However, prices are still stuck within a range of Rs 1,020–1,070 since September 8. Additionally, the Bollinger bands have started to shrink, indicating low volatility in the stock. Such periods of contraction are typically followed by periods of expansion. Hence, a breakout on the upside is expected, which could push prices to new fresh highs. A break above Rs 1,070 can trigger a fresh leg upward toward Rs 1,110, followed by Rs 1,145 levels. Strategy: Buy Target: Rs 1,110, Rs 1,145 Stop-Loss: Rs 1,030 Bank of Baroda has been in strong bullish momentum, in line with the overall PSU Banking index, for the past few sessions. On the technical front, the RSI is above the major threshold, which may lead to price expansion, coupled with good trading volumes. Moreover, the MACD shows a strong bullish crossover, with a wide spread between the MACD and signal line. Immediate support for the stock is at Rs 250, while the trend remains positive as long as the price holds above the support zone and moves higher above Rs 280. Strategy: Buy Target: Rs 282, Rs 288 Stop-Loss: Rs 245 Hero MotoCorp has witnessed good action in the past few weeks and is looking strong on the short-term time frame, trading well above its major short-term moving averages. The stock has broken out above Rs 5,400, with volumes showing an increasing trend over the past few trades, indicating growing traction in the counter. The Bollinger Band (20, 2) is also trading in comfortable zones, with both the RSI and MACD signaling bullish trends on the daily as well as the weekly time frames. The next resistance for the stock is around Rs 5,650–5,700 from a short-term perspective. Strategy: Buy Target: Rs 5,645, Rs 5,680 Stop-Loss: Rs 5,367",2025-10-01T01:32:36+05:30,2025-10-01T01:32:47+05:30,,"Non-Market-Moving  
Reason: The article discusses ongoing market trends and trading ideas but does not provide new, unexpected information that would materially change investor expectations.",Non-Market-Moving
"Morgan Stanley sees Sensex at 1 lakh in bull case by June 2026, trade deal and lower crude key to re-rating",Debaroti Adhikary,"Morgan Stanley also issued a 'Bear' case scenario, where Sensex drops to 70,000 by June 2026. This holds 20 percent probability, according to the international brokerage.",https://www.moneycontrol.com/news/business/markets/morgan-stanley-sees-sensex-at-1-lakh-in-bull-case-by-june-2026-trade-deal-and-lower-crude-key-to-re-rating-13383555.html,"Global brokerage Morgan Stanley on August 4 issued a positive note for Indian equity markets, stating that benchmark index can hit the key 1 lakh-mark by June 2026 in a bull case. The firm cited several potential triggers for the rally. In the note titled 'India Equity Strategy Playbook', Morgan Stanley analysts Ridham Desai and Nayant Parekh said that there is a strong case for rerating of Indian stock markets. ""Get ready for new highs in the months ahead,"" it said, while adding that India is likely to gain share in global output in the coming decades, driven by strong foundational factors. These include strong population growth, a functioning democracy, macro stability-influenced policy, better infrastructure, rising entrepreneurial class, and improving social outcomes. A final trade deal with the US, more capex announcements, acceleration in uniform improvement in high frequency data and improving trade with China were cited as the likely triggers for the possible massive growth. Morgan Stanley explained how it came to the possibility of Sensex hitting key milestones by June 2026. According to its 'Base case' scenario, which holds 50 percent probability, Sensex will hit an all time high of 89,000 by June 2026. ""This level assumes continuation in India's gains in macro stability via fiscal consolidation, increased private investment, and a positive gap between real growth and real rates. Robust domestic growth, slow growth in the US but no recession, and benign oil prices are also part of our assumptions. In our base case, we also assume a benign India-US trade deal,"" it said. In its 'Bull' case scenario, the international brokerage expects Sensex to cross the key Rs 1 lakh mark for the first time ever by June 2026. This holds 30 percent probability, according to the firm. It noted that the target may be achieved if oil prices are persistent below the $65-mark, which in turn would create better environment for trade, and prompt more rate cuts by the RBI. “The global trade war is curtailed by complete reversals in positions on tariffs, leading to improved growth prospects. Government reforms surprise to the upside with a slew of GST rate cuts and some progress on farm laws,’ it added, while explaining the context needed for the bull case to come true. However, Morgan Stanley also issued a ‘Bear’ case scenario, where Sensex drops to 70,000 by June 2026. This holds 20 percent probability, according to the international brokerage. “Oil prices surge past US$100/barrel, the RBI ends up tightening to protect macro stability, global growth slows meaningfully, and notably the US slips into recession. Sensex earnings compound at 15% annually over F2025-28 with perceptibly lower growth in F2026 and equity multiples de-rate to reflect poor macro conditions,” it said. Morgan Stanley noted that it prefers domestic cyclicals over defensives and external-facing sectors. It added it remains overweight on financials, consumer discretionary and industrials, but underweight on energy, materials, utilities and healthcare. “This is likely to be a stock pickers' market, in contrast to one driven by top-down or macro factors, and thus we run an average active position of just 80bps. We are capitalization-agnostic,” it said. According to the global brokerage, the period of soft earnings growth which started since Q2 FY25 may be over, but the market is not yet convinced. ""Supporting a turn in growth is a dovish central bank but confidence in it may need better clarity on the external growth environment and GST rate rationalization,"" it said. ""While FPI portfolio positioning is at its weakest since the data started in 2000, our view remains that India’s low beta implies outperformance in a global bear market but underperformance in a bull market. Downside risks arise from slowing global growth and worsening geopolitics,"" the analysts noted. They further said that the yield curve leads stock returns by about two months. The curve is rising and, at the margin, is bullish for equities. ""The change in short-term interest rates leads stock returns by about nine months and is currently pointing to better equity returns,"" the note added. Indian stock markets ended the session on a positive note, with Sensex rising more than 418 points (0.52 percent) to close at 81,018.72. The benchmark index had seen significant rally last year, almost crossing the key 86,000-mark in September 2024. However, it has significantly declined since then, declining nearly 5,000 points (around 6 percent) to current level. Also read:",2025-08-04T16:15:24+05:30,2025-09-17T16:34:42+05:30,,"Non-Market-Moving  
Reason: The information provided is a forecast and analysis that does not contain new, unexpected data that would materially change investor expectations or trigger immediate trading.",Non-Market-Moving
Shaily Engineering Q2: Operational excellence matches strong fundamentals,Anant Chaudhary,Shaily Engineering has delivered an outstanding 147 percent return to investors since its inclusion in our Discovery series,https://www.moneycontrol.com/news/business/earnings/shaily-engineering-q2-operational-excellence-matches-strong-fundamentals-12902508.html,,2025-01-03T09:14:02+05:30,2025-08-20T10:25:15+05:30,,"Non-Market-Moving  
Reason: The article does not provide any specific information or context that would indicate a significant impact on investor expectations or trading activity.",Non-Market-Moving
"MTAR Technologies: Cautious guidance for FY26, but future upbeat",Tejal Parab,The company is optimistic about achieving revenue growth of 25 percent for the next three years. EBITDA margins are expected to improve from 18 percent in FY 25 to 21 percent in FY26.The company anticipates sequential improvement in EBITDA margins due to operating leverage and scale up in production,https://www.moneycontrol.com/news/business/earnings/mtar-technologies-cautious-guidance-for-fy26-but-future-upbeat-13047815.html,,2025-05-27T10:38:19+05:30,2025-07-03T13:27:34+05:30,,"Non-Market-Moving  
Reason: The article does not provide any specific information or context that would influence investor expectations or trigger trading activity.",Non-Market-Moving
Moneycontrol Pro Panorama | LPG a surprise winner from tariff war,Shishir Asthana,"For Moneycontrol Pro Panorama May 5 edition: Caste Census more about votes than welfare, the underbelly of digital piracy decoded, SC ruling on Bhushan Power leaves much to be desired, and more",https://www.moneycontrol.com/news/business/economy/moneycontrol-pro-panorama-lpg-a-surprise-winner-from-tariff-war-13013362.html,"The increased tariffs imposed by both countries on each other have disrupted the energy market. As a result, crude oil prices have fallen below the $60 per barrel mark, largely due to a production hike by the OPEC+ oil cartel. A similar trend is also evident in the gas market, where both liquefied petroleum gas (LPG) and compressed natural gas (CNG) are under selling pressure. The LPG market is experiencing higher selling pressure compared to CNG. LPG is primarily produced during the fractional distillation of crude oil while CNG is mainly extracted from oil and gas wells. Unlike CNG, where production can be capped at a gas well, LPG production cannot be easily controlled. If LPG production needs to be reduced, the entire refinery would have to shut down, or the excess LPG produced would have to be flared, leading to significant losses for refiners. This urgency to sell LPG has caused a shakeout in the market. In India, 80 percent of LPG requirements are met through imports from Middle Eastern producers whereas China sources about 50 percent of its LPG from the US. However, with the increase in tariffs, importing LPG from the US is no longer viable. Middle Eastern suppliers have seized this opportunity to sell their products to China, where prices are higher. In contrast, India benefits from the lower rates at which US producers are willing to sell. Transportation is a significant cost in the gas market. Due to the tariff war, LPG is now available to Indian importers from the US at the freight-on-board (FOB) price it received from the Middle East. Reports indicate that starting in June, the Abu Dhabi National Oil Company (ADNOC) will begin replacing some of the LPG it supplies to India with cheaper US cargo through its trading units. In an unusual move, Indian refiners have requested Middle Eastern suppliers to swap a portion of their term supply for US LPG. The Middle Eastern suppliers are more than willing to accommodate this request as they can sell their gas to China at a higher price. In addition to price arbitrage, India benefits from imports by leveraging them in tariff negotiations. The Trump administration has criticised India for imposing high tariffs on imports from the US, for non-tariff barriers, and for maintaining a significant trade surplus. LPG imports from the US can help address the trade surplus issue. Indian refiners have already signed long-term contracts with US suppliers to acquire 10 million tonnes of LNG over the next five years. Additionally, US LPG imports are expected to narrow the gap further. Based on signed agreements, supplies from the US are projected to increase to 230,000 tonnes in May, compared to 24,000 tonnes from January to April. While the deal is advantageous for India, the opportunity may be short-lived. Prices are likely to change as the tariff war between the US and China is resolved and tariffs are reduced. Until then, India can capitalise on the current trade imbalance. What else are we reading? Markets Tech and Startups AXISBANK, GRSE, KOTAKBANK ",2025-05-05T15:41:52+05:30,2025-06-10T16:01:58+05:30,,"Market-Moving  
Reason: The imposition of increased tariffs and the resulting disruption in the energy market, along with significant price movements in crude oil and gas, represent new and unexpected information that can materially change investor expectations.",Market-Moving
